Phase,Duration (s),Start,End,Gapped
B,16,2026-02-25T02:07:55+13:00[Pacific/Auckland],2026-02-25T02:08:11+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T02:08:11+13:00[Pacific/Auckland],2026-02-25T02:08:27+13:00[Pacific/Auckland],Yes
<A>,553,2026-02-25T02:08:27+13:00[Pacific/Auckland],2026-02-25T02:17:40+13:00[Pacific/Auckland],
B,16,2026-02-25T02:17:40+13:00[Pacific/Auckland],2026-02-25T02:17:56+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T02:17:56+13:00[Pacific/Auckland],2026-02-25T02:18:13+13:00[Pacific/Auckland],Yes
<A>,54,2026-02-25T02:18:13+13:00[Pacific/Auckland],2026-02-25T02:19:07+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T02:19:07+13:00[Pacific/Auckland],2026-02-25T02:19:20+13:00[Pacific/Auckland],Yes
<A>,128,2026-02-25T02:19:20+13:00[Pacific/Auckland],2026-02-25T02:21:28+13:00[Pacific/Auckland],
B,16,2026-02-25T02:21:28+13:00[Pacific/Auckland],2026-02-25T02:21:44+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T02:21:44+13:00[Pacific/Auckland],2026-02-25T02:22:01+13:00[Pacific/Auckland],Yes
<A>,177,2026-02-25T02:22:01+13:00[Pacific/Auckland],2026-02-25T02:24:58+13:00[Pacific/Auckland],
B,16,2026-02-25T02:24:58+13:00[Pacific/Auckland],2026-02-25T02:25:14+13:00[Pacific/Auckland],Yes
<A>,48,2026-02-25T02:25:14+13:00[Pacific/Auckland],2026-02-25T02:26:02+13:00[Pacific/Auckland],Yes
C,14,2026-02-25T02:26:02+13:00[Pacific/Auckland],2026-02-25T02:26:16+13:00[Pacific/Auckland],Yes
<A>,348,2026-02-25T02:26:16+13:00[Pacific/Auckland],2026-02-25T02:32:04+13:00[Pacific/Auckland],
B,16,2026-02-25T02:32:04+13:00[Pacific/Auckland],2026-02-25T02:32:20+13:00[Pacific/Auckland],Yes
<A>,370,2026-02-25T02:32:20+13:00[Pacific/Auckland],2026-02-25T02:38:30+13:00[Pacific/Auckland],
B,16,2026-02-25T02:38:30+13:00[Pacific/Auckland],2026-02-25T02:38:46+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T02:38:46+13:00[Pacific/Auckland],2026-02-25T02:39:02+13:00[Pacific/Auckland],Yes
<A>,138,2026-02-25T02:39:02+13:00[Pacific/Auckland],2026-02-25T02:41:20+13:00[Pacific/Auckland],
B,17,2026-02-25T02:41:20+13:00[Pacific/Auckland],2026-02-25T02:41:37+13:00[Pacific/Auckland],Yes
<A>,137,2026-02-25T02:41:37+13:00[Pacific/Auckland],2026-02-25T02:43:54+13:00[Pacific/Auckland],
B,16,2026-02-25T02:43:54+13:00[Pacific/Auckland],2026-02-25T02:44:10+13:00[Pacific/Auckland],Yes
<A>,204,2026-02-25T02:44:10+13:00[Pacific/Auckland],2026-02-25T02:47:34+13:00[Pacific/Auckland],
B,16,2026-02-25T02:47:34+13:00[Pacific/Auckland],2026-02-25T02:47:50+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T02:47:50+13:00[Pacific/Auckland],2026-02-25T02:48:07+13:00[Pacific/Auckland],Yes
<A>,76,2026-02-25T02:48:07+13:00[Pacific/Auckland],2026-02-25T02:49:23+13:00[Pacific/Auckland],
B,16,2026-02-25T02:49:23+13:00[Pacific/Auckland],2026-02-25T02:49:39+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T02:49:39+13:00[Pacific/Auckland],2026-02-25T02:49:56+13:00[Pacific/Auckland],Yes
<A>,182,2026-02-25T02:49:56+13:00[Pacific/Auckland],2026-02-25T02:52:58+13:00[Pacific/Auckland],
B,16,2026-02-25T02:52:58+13:00[Pacific/Auckland],2026-02-25T02:53:14+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T02:53:14+13:00[Pacific/Auckland],2026-02-25T02:53:31+13:00[Pacific/Auckland],Yes
<A>,173,2026-02-25T02:53:31+13:00[Pacific/Auckland],2026-02-25T02:56:24+13:00[Pacific/Auckland],
B,16,2026-02-25T02:56:24+13:00[Pacific/Auckland],2026-02-25T02:56:40+13:00[Pacific/Auckland],Yes
<A>,48,2026-02-25T02:56:40+13:00[Pacific/Auckland],2026-02-25T02:57:28+13:00[Pacific/Auckland],Yes
C,14,2026-02-25T02:57:28+13:00[Pacific/Auckland],2026-02-25T02:57:42+13:00[Pacific/Auckland],Yes
<A>,493,2026-02-25T02:57:42+13:00[Pacific/Auckland],2026-02-25T03:05:55+13:00[Pacific/Auckland],
B,16,2026-02-25T03:05:55+13:00[Pacific/Auckland],2026-02-25T03:06:11+13:00[Pacific/Auckland],Yes
